"CustomerID","Recency","Frequency","Monetary","Cluster.HC","Cluster.NHC","Cluster.DT"
"12347",24,7,608.128571428571,"1","5","2"
"12348",97,4,449.31,"2","3","1"
"12349",40,1,1757.55,"2","3","1"
"12350",332,1,306.5,"3","1","6"
"12352",58,8,313.255,"1","5","2"
"12353",226,1,89,"4","4","5"
"12354",254,1,1079.4,"2","3","5"
"12355",236,1,433.9,"3","1","5"
"12356",44,3,927.143333333333,"1","3","1"
"12358",23,2,584.03,"5","3","1"
"12359",79,4,1570.2075,"1","3","1"
"12360",74,3,881.82,"1","3","1"
"12361",309,1,189.9,"3","1","6"
"12362",25,10,522.623,"1","5","2"
"12363",131,2,276,"2","1","3"
"12364",29,4,328.275,"5","2","1"
"12365",313,2,320.69,"4","1","6"
"12367",26,1,168.9,"4","6","1"
"12370",73,4,870.8225,"1","3","1"
"12371",66,2,914.23,"2","3","1"
"12372",93,3,432.68,"2","3","1"
"12373",333,1,364.6,"3","1","6"
"12374",47,1,742.93,"6","3","1"
"12375",32,2,199.65,"5","6","1"
"12377",337,2,802.81,"2","1","6"
"12378",151,1,4008.62,"2","3","3"
"12379",103,2,426.12,"2","3","3"
"12380",43,4,677.0525,"1","3","1"
"12381",26,5,364.382,"5","5","2"
"12383",206,5,370.112,"4","1","5"
"12384",50,2,292.635,"5","6","1"
"12386",359,2,200.95,"4","1","6"
"12388",37,6,463.443333333333,"1","5","2"
"12390",101,1,549.84,"6","3","3"
"12391",43,1,439.66,"6","6","1"
"12393",94,4,390.025,"2","2","1"
"12394",85,2,636.24,"2","3","1"
"12395",41,12,251.5525,"1","5","4"
"12397",57,2,1204.95,"1","3","1"
"12398",67,1,1635.66,"2","3","1"
"12399",141,4,277.1625,"2","2","3"
"12401",325,1,84.3,"4","4","6"
"12402",345,1,225.6,"3","1","6"
"12403",71,1,344.7,"6","6","1"
"12405",170,1,1710.39,"2","3","3"
"12406",44,2,1649.55,"1","3","1"
"12407",71,5,340.232,"2","2","2"
"12408",54,5,573.81,"2","5","2"
"12409",100,3,3631.22333333333,"2","3","3"
"12410",330,2,346.665,"2","1","6"
"12412",96,3,405.84,"2","3","1"
"12413",88,3,252.7,"4","2","1"
"12414",239,3,187.47,"4","1","5"
"12417",25,9,404.511111111111,"1","5","2"
"12418",134,1,668.58,"6","3","3"
"12420",85,1,600.39,"6","3","1"
"12421",37,4,201.76,"5","2","1"
"12422",117,3,261.353333333333,"4","2","3"
"12423",22,8,227.38875,"1","5","2"
"12424",184,2,880.48,"2","3","3"
"12425",100,1,777.2,"6","3","3"
"12426",216,1,582.73,"3","1","5"
"12427",43,3,275.266666666667,"5","2","1"
"12428",47,9,876.751111111111,"1","5","2"
"12429",31,4,929.2,"1","3","1"
"12430",65,1,256.4,"6","6","1"
"12431",57,15,423.296666666667,"1","5","4"
"12432",64,5,997.824,"1","3","2"
"12433",22,7,1909.16714285714,"1","5","2"
"12434",106,2,403.07,"2","3","3"
"12435",101,2,3914.945,"2","3","3"
"12436",121,1,509.01,"6","1","3"
"12437",23,18,275.078333333333,"1","5","4"
"12438",36,2,1453.425,"1","3","1"
"12441",388,1,173.55,"3","1","6"
"12442",25,1,172.06,"4","6","1"
"12444",43,5,993.012,"1","3","2"
"12445",44,1,103.4,"4","6","1"
"12446",79,1,1002.31,"6","3","1"
"12447",265,1,476.49,"3","1","5"
"12448",66,1,449.45,"6","3","1"
"12449",44,4,997.0225,"1","3","1"
"12450",178,2,98.94,"4","4","3"
"12451",32,5,1792.224,"1","3","2"
"12452",38,2,215.285,"5","6","1"
"12453",156,1,707.09,"2","3","3"
"12454",78,1,3168.34,"2","3","1"
"12455",95,6,408.376666666667,"2","2","2"
"12456",66,3,1055.04666666667,"1","3","1"
"12457",88,7,332.547142857143,"2","2","2"
"12458",93,2,458.7,"2","3","1"
"12461",116,2,413.44,"2","3","3"
"12462",40,2,594.795,"5","3","1"
"12463",75,4,333.645,"2","2","1"
"12464",32,8,151.50625,"1","2","2"
"12465",39,2,371.095,"5","6","1"
"12468",209,2,364.77,"4","1","5"
"12472",54,7,936.73,"1","5","2"
"12473",51,5,784.05,"1","3","2"
"12474",39,18,405.643888888889,"1","5","4"
"12475",75,1,723.38,"6","3","1"
"12476",37,11,618.310909090909,"1","5","4"
"12477",44,6,2174.09,"1","3","2"
"12478",25,1,680.99,"6","3","1"
"12479",33,1,512.2,"6","6","1"
"12480",50,4,816.6575,"1","3","1"
"12481",44,10,557.982,"1","5","2"
"12483",39,8,309.3625,"1","5","2"
"12484",54,6,752.756666666667,"1","5","2"
"12488",31,3,432.886666666667,"5","2","1"
"12489",358,1,334.93,"3","1","6"
"12490",27,10,538.473,"1","5","2"
"12491",60,1,460.4,"6","3","1"
"12492",85,2,131.605,"4","6","1"
"12493",187,2,198.87,"4","1","3"
"12494",37,7,173.271428571429,"1","2","2"
"12497",103,1,1043.1,"6","3","3"
"12498",43,3,134.566666666667,"5","2","1"
"12500",45,11,385.183636363636,"1","5","4"
"12501",358,1,2146.89,"2","3","6"
"12502",117,5,733.134,"2","3","3"
"12504",40,2,241.025,"5","6","1"
"12506",254,1,73.5,"4","4","5"
"12507",156,3,434.936666666667,"2","3","3"
"12508",48,2,197.755,"5","6","1"
"12509",306,1,176.5,"3","1","5"
"12510",164,2,491.285,"2","1","3"
"12512",88,2,66.09,"4","4","1"
"12513",134,1,612.29,"6","3","3"
"12514",289,1,1017.68,"2","1","5"
"12515",375,1,383.7,"3","1","6"
"12516",99,2,635.23,"2","3","1"
"12517",50,5,495.07,"2","5","2"
"12518",22,5,404.738,"5","5","2"
"12519",85,1,330.84,"6","6","1"
"12520",101,5,524.98,"2","3","3"
"12521",164,1,599.68,"3","1","3"
"12522",61,2,96.36,"4","6","1"
"12523",41,11,162.706363636364,"1","2","4"
"12524",31,8,560.715,"1","5","2"
"12526",22,3,435.486666666667,"5","5","1"
"12527",103,3,107.836666666667,"4","4","3"
"12528",31,6,322.246666666667,"5","5","2"
"12530",81,4,411.42,"2","2","1"
"12531",36,1,125.22,"4","6","1"
"12532",52,1,349.83,"6","6","1"
"12534",152,1,1089.18,"2","3","3"
"12535",113,2,340.275,"2","1","3"
"12536",65,3,4195.11,"2","3","1"
"12538",51,1,363.95,"6","6","1"
"12539",44,4,1386.1875,"1","3","1"
"12540",41,17,785.867058823529,"1","5","4"
"12541",51,3,327.06,"5","2","1"
"12544",58,1,372.7,"6","6","1"
"12545",97,2,492.695,"2","3","1"
"12546",68,2,580.75,"2","3","1"
"12547",219,2,103.9,"4","4","5"
"12548",188,1,95.2,"4","4","3"
"12550",101,1,964.83,"6","3","3"
"12551",379,1,148.5,"3","4","6"
"12552",60,2,212.535,"4","6","1"
"12553",30,10,364.298,"1","5","2"
"12556",72,2,297.44,"5","6","1"
"12557",38,5,1668.112,"1","3","2"
"12558",29,1,249.56,"4","6","1"
"12559",332,2,280.855,"4","1","6"
"12560",27,3,707.936666666667,"1","3","1"
"12561",324,1,238.85,"3","1","6"
"12562",30,7,538.791428571429,"1","5","2"
"12564",283,1,456.9,"3","1","5"
"12565",310,1,145.92,"3","4","6"
"12566",108,1,351.65,"6","1","3"
"12567",44,10,932.328,"1","5","2"
"12571",61,2,259.805,"5","6","1"
"12572",30,2,506.31,"5","3","1"
"12573",249,1,160.54,"3","4","5"
"12574",337,1,218.45,"3","1","6"
"12576",57,5,263.166,"5","2","2"
"12577",57,3,206.116666666667,"4","2","1"
"12578",43,2,1397.255,"1","3","1"
"12579",100,1,440.42,"6","3","3"
"12580",268,1,415.7,"3","1","5"
"12581",61,1,197.71,"4","6","1"
"12582",260,2,255.68,"4","1","5"
"12583",24,15,485.425333333333,"1","5","4"
"12584",25,9,259.794444444444,"1","5","2"
"12585",256,2,1020.05,"2","3","5"
"12586",39,1,196.94,"4","6","1"
"12587",29,1,144,"4","6","1"
"12588",61,1,214.9,"6","6","1"
"12589",50,2,323.34,"5","6","1"
"12590",233,2,4932.13,"2","3","5"
"12591",339,1,452.85,"3","1","6"
"12592",114,2,218.8,"4","6","3"
"12593",130,3,126.2,"4","4","3"
"12594",59,10,326.802,"1","5","2"
"12596",73,2,309.135,"5","6","1"
"12597",41,4,949.055,"1","3","1"
"12598",31,8,377.885,"1","5","2"
"12599",51,7,147.511428571429,"5","2","2"
"12600",50,10,259.904,"1","5","2"
"12601",211,5,115.412,"4","4","5"
"12602",80,1,153.12,"4","6","1"
"12603",43,1,739.2,"6","3","1"
"12604",101,2,127.09,"4","4","3"
"12607",82,1,1579.51,"2","3","1"
"12609",100,3,375.616666666667,"2","3","3"
"12610",44,5,419.908,"2","5","2"
"12611",74,1,1193.32,"6","3","1"
"12612",96,1,573.24,"6","3","1"
"12613",79,5,663.516,"2","3","2"
"12614",299,1,298.6,"3","1","5"
"12615",24,4,572.7975,"1","5","1"
"12616",117,2,356.65,"2","1","3"
"12617",51,1,352.98,"6","6","1"
"12618",43,1,177.31,"4","6","1"
"12619",38,9,404.582222222222,"1","5","2"
"12620",36,3,441.07,"5","2","1"
"12621",23,20,680.2135,"1","5","4"
"12622",254,1,180.1,"3","1","5"
"12623",298,1,305.1,"3","1","5"
"12624",128,2,312.615,"2","1","3"
"12625",233,2,1341.91,"2","3","5"
"12626",45,9,733.942222222222,"1","5","2"
"12627",32,7,637.518571428571,"1","5","2"
"12628",26,3,262.153333333333,"5","2","1"
"12630",31,2,635.44,"5","3","1"
"12631",79,1,640.5,"6","3","1"
"12633",80,4,540.995,"2","3","1"
"12635",111,2,837.09,"2","3","3"
"12637",89,8,750.3625,"2","5","2"
"12638",55,1,671.69,"6","3","1"
"12639",260,1,486.1,"3","1","5"
"12640",45,3,391.526666666667,"5","2","1"
"12641",137,1,185.9,"4","1","3"
